,Title,Brand,Rating_out_five,Rating,Price,Discount
166,Puma Unisex-Adult BMW MMS Kart Cat Nitro Sneaker,Puma Sports India,NaN,,"4,299",-57%
167,Puma Men's BMW MMS Trinity Sneaker,Puma Sports India,25 ratings, 4.4 ,"5,399",-40%
168,Puma Unisex Serve Pro Lite Sneaker,Cocoblu Retail,393 ratings, 4.2 ,"2,250",-50%
169,Puma Unisex-Adult Pacer 23 Street Sneaker,Cocoblu Retail,NaN,,"3,824",-49%
170,Puma Unisex Turin 3 Sneaker,Cocoblu Retail,1 rating, 5.0 ,"1,968",-59%
171,Puma Men's Dynamite Sneaker,Puma Sports India,296 ratings, 3.7 ,"1,999",-60%
172,Puma Men's Alfarun Hyperwave Sneaker,Puma Sports India,13 ratings, 3.5 ,"1,799",-55%
173,Puma Unisex Anzarun FS 2.0 Sneaker,Cocoblu Retail,15 ratings, 3.7 ,"3,009",-45%
174,Puma Unisex X-Ray Tour Sneaker,Cocoblu Retail,12 ratings, 4.3 ,"3,599",-55%
175,Puma Unisex Turino II SD Sneaker,Cocoblu Retail,10 ratings, 3.5 ,"2,859",-48%
176,Puma Men's Foam Stride Running Shoe,Puma Sports India,528 ratings, 3.6 ,"1,929",-57%
177,Puma Men's Jitter Sneaker,Cocoblu Retail,75 ratings, 3.7 ,"2,099",-58%
178,Puma Unisex Smash v2 Buck Sneaker,NaN,"1,112 ratings",3.9,"2,250.",0
179,Puma Unisex Smash Vulc V3 LO Sneaker,Cocoblu Retail,108 ratings, 4.3 ,"3,209",-29%
180,Puma Men's Bold Extreme Sneaker,Sooperbuy Pvt Ltd,792 ratings, 4.0 ,"2,399",-40%
181,Puma Men's Levitex Sneaker,Cocoblu Retail,6 ratings, 3.8 ,"2,025",-55%
182,Puma Unisex Road Rider Lux Sneaker,Cocoblu Retail,2 ratings, 5.0 ,"3,599",-55%
183,Puma Men's Glanza v2 Sneaker,Cocoblu Retail,89 ratings, 3.9 ,"2,004",-55%
184,Puma Men's Jigsaw V1 Sneaker,Cocoblu Retail,10 ratings, 3.6 ,"1,631.",-66%
185,Puma Unisex ST Runner v4 L Sneaker,Cocoblu Retail,73 ratings, 4.4 ,"3,024",-45%
186,Cruiser Mens Aurelius Sneaker | Casual Shoes | Cushioned Insole | Lace-Up Design | Arch Support & Ventilated Comfort | Perfect Pair with Casual Outfit,Cocoblu Retail,166 ratings, 3.5 ,"1,079",-57%
187,The Aurous Windstorm Laceup Sneakers for Men | Stylish | Lightweight | Comfortable | Handcrafted | Memory Foam Soles for Extra Cushioning,Luxomish,29 ratings, 4.2 ,"1,499",-57%
188,egoss Genuine Leather Sneaker Casual Shoes for Men (Black-10)-ES-21,Cocoblu Retail,NaN,,"3,699",0
189,ATHCO Mens Wind Memory Foam Comfort Casual Sneaker Shoes|Laceup|Slip Resistant|Lightweight|Dailyuse|ExtraSoft,Cocoblu Retail,68 ratings, 4.5 ,599,-65%
